Name,OnStreetName,AtCrossStreet,Latitude,Longitude
K435WBVR-32,I435 W,MISSION RD,38.9328,-94.6329
K435WBVR-34,I435 W,LEE BLVD,38.9334,-94.6202
K435WBVR-35,I435 W,INDIAN CREEK,38.9353,-94.6135
K635NBRV-12A,I635 N,I-635N TO I-70E,39.103071,-94.67797
K635NBRV-13A,I635 N,I-70W TO I-635N,39.106868,-94.678049
K635NBRV-13B,I635 N,I-70E TO I-635N,39.107778,-94.679503
K635NBV-10,I635 N,KANSAS AVE,39.093219,-94.680439
K635NBV-11,I635 N,SOUTH OF I-70,39.096594,-94.680347
K635NBV-12,I635 N,AT I-70,39.103193,-94.678426
K635NBV-13A,I635 N,NORTH OF I-70,39.106845,-94.678156
K635NBV-13B,I635 N,I-635 NORTH OF I-70,39.107847,-94.679305
K635NBV-16,I635 N,SOUTH OF STATE AVE,39.115505,-94.681802
K635NBV-17,I635 N,NORTH OF STATE AVE,39.118818,-94.680812
K635NBV-19,I-635 N Before Parallel Pkway,(none),39.1236,-94.6773
K635NBV-21,I635 N,Parallel Pkway,39.1304,-94.6764
K635NBV-23,I635 N,Georgia Ave,39.136,-94.6758
K635NBV-25,I635 N,38th Street,39.14,-94.6743
K635NBV-28,I635 N,Leavenworth Road,39.1438,-94.6698
K635NBV-29,I635 N,Before K-5,39.1466,-94.6654
K635NBV-30,I635 N,K-5,39.1465,-94.6586
K635NBVR-01,I635 N,NORTH OF MERRIAM,39.04485,-94.6776
K635NBVR-03,I635 N,SHAWNEE DR,39.055278,-94.679724
K635NBVR-04,I635 N,DOUGLAS AVE,39.065575,-94.67969
K635NBVR-06,I635 N,METROPOLITAN AVE,39.073668,-94.680085
K635NBVR-07,I635 N,SWARTZ RD,39.080298,-94.680773
K635SBRV-12D,I635 S,I-70E TO I-635S,39.103546,-94.680263
K635SBRV-14C,I635 S,I-635S TO I-70W,39.108006,-94.681241
K635SBV-09,I635 S,KANSAS AVE,39.091403,-94.680786
K635SBV-11,I635 S,SOUTH OF I-70,39.096719,-94.680798
